Institution Name,ROR_ID,Latitude,Longitude
European Molecular Biology Laboratory,https://ror.org/01yr73893,42.05159,12.61969
European Molecular Biology Laboratory,https://ror.org/03mstc592,49.40768,8.69079
European Molecular Biology Laboratory,https://ror.org/010jaxs89,41.38879,2.15899
European Molecular Biology Laboratory,https://ror.org/050589e39,53.55073,9.99302
European Molecular Biology Laboratory,https://ror.org/01zjc6908,45.17869,5.71479
UNSW Sydney,https://ror.org/03r8z3t63,-33.86785,151.20732
University of Tennessee Health Science Center,https://ror.org/0011qv509,35.14953,-90.04898
RIKEN,https://ror.org/01sjwvz98,35.78944,139.62333
National Institutes of Natural Sciences,https://ror.org/055n47h92,35.6895,139.69171
United States National Library of Medicine,https://ror.org/0060t0j89,38.98067,-77.10026
Niigata University,https://ror.org/04ww21r56,37.92259,139.04125
Soka University,https://ror.org/003qdfg20,35.6895,139.69171
Institute for Systems Biology,https://ror.org/02tpgw303,47.60621,-122.33207
Dutch Techcentre for Life Sciences,https://ror.org/055d8gs64,52.09083,5.12222
King Abdullah University of Science and Technology,https://ror.org/01q3tbs38,21.49012,39.18624
Medical Genetics Center,https://ror.org/027nwsc63,48.13743,11.57549
Noguchi Institute,https://ror.org/02vg5vv12,35.6895,139.69171
Naturalis Biodiversity Center,https://ror.org/0566bfb96,52.15833,4.49306
Hitachi (South Korea),https://ror.org/02kqmq412,37.566,126.9784
Norwegian University of Science and Technology,https://ror.org/05xg72x27,63.43049,10.39506
Japan Science and Technology Agency,https://ror.org/00097mb19,35.6895,139.69171
European Bioinformatics Institute,https://ror.org/02catss52,52.2,0.11667
University of Colorado Denver,https://ror.org/02hh7en24,39.73915,-104.9847
Tohoku Medical Megabank Organization,https://ror.org/03zzyap02,38.26667,140.86667
University of California System,https://ror.org/00pjdza24,37.80437,-122.2708
National Institute of Genetics,https://ror.org/02xg1m795,35.11667,138.91667
Shenzhen Institutes of Advanced Technology,https://ror.org/04gh4er46,22.54554,114.0683
Soka University of America,https://ror.org/03rr7xb36,33.56504,-117.72712
University Medical Center Utrecht,https://ror.org/0575yy874,52.09083,5.12222
Curoverse (United States),https://ror.org/02e7g3z76,42.3876,-71.0995
University of Nagasaki,https://ror.org/03ppx1p25,33.16834,129.72502
Tokyo Institute of Technology,https://ror.org/0112mx960,35.6895,139.69171
RIKEN Center for Sustainable Resource Science,https://ror.org/010rf2m76,35.43333,139.65
University Medical Center,https://ror.org/036pt7h44,33.57786,-101.85517
Istituto Nazionale Genetica Molecolare,https://ror.org/05rb1q636,45.46427,9.18951
Keio University,https://ror.org/02kn6nx58,35.6895,139.69171
Garvan Institute of Medical Research,https://ror.org/01b3dvp57,-33.87939,151.21925
"University of California, Santa Cruz",https://ror.org/03s65by71,36.97412,-122.0308
National Institute for Basic Biology,https://ror.org/05q8wtt20,34.95,137.16667
Queen Mary University of London,https://ror.org/026zzn846,51.50853,-0.12574
University of Colorado Cancer Center,https://ror.org/04cqn7d42,39.72943,-104.83192
National Center for Biotechnology Information,https://ror.org/02meqm098,38.98067,-77.10026
Vrije Universiteit Amsterdam,https://ror.org/008xxew50,52.37403,4.88969
University of Melbourne,https://ror.org/01ej9dk98,-37.814,144.96332
Pharmaceuticals and Medical Devices Agency,https://ror.org/03mpkb302,35.6895,139.69171
"University of California, Berkeley",https://ror.org/01an7q238,37.87159,-122.27275
James Hutton Institute,https://ror.org/03rzp5127,56.46913,-2.97489
Griffith University,https://ror.org/02sc3r913,-27.46794,153.02809
National Cancer Research Institute,https://ror.org/02mp0vf47,51.50853,-0.12574
University of East Anglia,https://ror.org/026k5mg93,52.62783,1.29834
ETH Zurich,https://ror.org/05a28rw58,47.36667,8.55
Maastricht University Medical Centre,https://ror.org/02d9ce178,50.84833,5.68889
National Center for Biotechnology,https://ror.org/00xhcc696,51.1801,71.44598
Heriot-Watt University,https://ror.org/04mghma93,55.95206,-3.19648
Stanford University,https://ror.org/00f54p054,37.42411,-122.16608
Ghent University,https://ror.org/00cv9y106,51.05,3.71667
Massachusetts General Hospital,https://ror.org/002pd6e78,42.35843,-71.05977
University Hospital and Clinics,https://ror.org/013v7fk41,30.22409,-92.01984
Norwich Research Park,https://ror.org/0062dz060,52.62783,1.29834
Curtin University,https://ror.org/02n415q13,-31.95224,115.8614
Rothamsted Research,https://ror.org/0347fy350,51.81684,-0.35706
Erasmus University Rotterdam,https://ror.org/057w15z03,51.9225,4.47917
University of Basel,https://ror.org/02s6k3f65,47.55839,7.57327
University of Leicester,https://ror.org/04h699437,52.6386,-1.13169
BGI Group (China),https://ror.org/045pn2j94,22.54554,114.0683
"University of California, San Diego",https://ror.org/0168r3w48,32.71571,-117.16472
Uppsala University,https://ror.org/048a87296,59.85882,17.63889
Wageningen University & Research,https://ror.org/04qw24q55,51.97,5.66667
Institut National des Sciences de l'Univers,https://ror.org/04kdfz702,48.85341,2.3488
Science for Life Laboratory,https://ror.org/04ev03g22,59.32938,18.06871
University of British Columbia,https://ror.org/03rmrcq20,49.24966,-123.11934
St. Paul's Hospital,https://ror.org/00wzdr059,49.24966,-123.11934
St. Paul's Hospital,https://ror.org/04d0rfg41,52.13238,-106.66892
St. Paul's Hospital,https://ror.org/04y7ajp38,37.566,126.9784
University of Saskatchewan,https://ror.org/010x8gc63,52.13238,-106.66892
University of the Basque Country,https://ror.org/000xsnr85,43.32686,-2.98884
Eurohelp Consulting,https://ror.org/01d84q841,43.31283,-1.97499
IT University of Copenhagen,https://ror.org/02309jg23,55.67594,12.56553
Health Canada,https://ror.org/05p8nb362,45.41117,-75.69812
Carleton University,https://ror.org/02qtvee93,45.41117,-75.69812
Korean Association Of Science and Technology Studies,https://ror.org/04qh86j58,37.566,126.9784
University of Manchester,https://ror.org/027m9bs27,53.48095,-2.23743
Korea Institute of Ocean Science and Technology,https://ror.org/032m55064,35.10168,129.03004
Duke University,https://ror.org/00py81415,35.99403,-78.89862
University of Toyama,https://ror.org/0445phv87,36.7,137.21667
Korea Institute of Science and Technology,https://ror.org/05kzfa883,37.566,126.9784
University of Georgia Press,https://ror.org/003gx4r22,33.96095,-83.37794
Russian Academy of Sciences,https://ror.org/05qrfxd25,55.75222,37.61556
Helmholtz Association of German Research Centres,https://ror.org/0281dp749,52.52437,13.41053
National Evolutionary Synthesis Center,https://ror.org/001ykb961,35.99403,-78.89862
KU Leuven,https://ror.org/05f950310,50.87959,4.70093
Korea Institute of Science & Technology Information,https://ror.org/01k4yrm29,36.34913,127.38493
Sanford Burnham Prebys Medical Discovery Institute,https://ror.org/03m1g2s55,32.84727,-117.2742
Macquarie University,https://ror.org/01sf06y89,-33.86785,151.20732
Research Organization of Information and Systems,https://ror.org/04p4e8t29,35.6895,139.69171
National Institute of Advanced Industrial Science and Technology,https://ror.org/01703db54,36.2,140.1
Maastro Clinic,https://ror.org/059wkzj26,50.84833,5.68889
University of Bergen,https://ror.org/03zga2b32,60.39299,5.32415
Enterprise Ireland,https://ror.org/023z51242,53.33306,-6.24889
Discovery Institute,https://ror.org/05t8s3y29,47.60621,-122.33207
Wellcome Trust,https://ror.org/029chgv08,51.50853,-0.12574
University of New Brunswick,https://ror.org/05nkf0n29,45.94541,-66.66558
National University of Ireland,https://ror.org/00shsf120,53.33306,-6.24889
Rensselaer Polytechnic Institute,https://ror.org/01rtyzb94,42.72841,-73.69179
Medical University of Vienna,https://ror.org/05n3x4p02,48.20849,16.37208
Case Western Reserve University,https://ror.org/051fd9666,41.4995,-81.69541
NHS Grampian,https://ror.org/00ma0mg56,57.14369,-2.09814
University of the Highlands and Islands,https://ror.org/02s08xt61,57.47908,-4.22398
Instituto Tecnologico de Orizaba,https://ror.org/05vpj2s72,18.85195,-97.09957
University of Potsdam,https://ror.org/03bnmw459,52.39886,13.06566
University of British Columbia Hospital,https://ror.org/00frst980,49.24966,-123.11934
Vancouver Hospital and Health Sciences Centre,https://ror.org/05p83my93,49.24966,-123.11934
Vancouver Coastal Health,https://ror.org/03bd8jh67,49.24966,-123.11934
Arizona State University,https://ror.org/03efmqc40,33.41477,-111.90931
University of Utah,https://ror.org/03r0ha626,40.76078,-111.89105
The Ohio State University,https://ror.org/00rs6vg23,39.96118,-82.99879
École Polytechnique,https://ror.org/05hy3tk52,48.71828,2.2498
Washington State University,https://ror.org/05dk0ce17,46.73127,-117.17962
University of Mary,https://ror.org/055f0jp24,46.80833,-100.78374
University of Washington,https://ror.org/00cvxb145,47.60621,-122.33207
International Maize and Wheat Improvement Center,https://ror.org/04d4vcg59,23.7104,90.40744
International Maize and Wheat Improvement Center,https://ror.org/01yab1r94,9.02497,38.74689
International Maize and Wheat Improvement Center,https://ror.org/055w89263,-1.28333,36.81667
International Maize and Wheat Improvement Center,https://ror.org/05a2xtt59,28.62137,77.2148
Polish Academy of Sciences,https://ror.org/01dr6c206,52.22977,21.01178
National Center for Genome Resources,https://ror.org/01p4cne93,35.68698,-105.9378
Institute of Computer Science,https://ror.org/003fvp964,52.22977,21.01178
International Crops Research Institute for the Semi-Arid Tropics,https://ror.org/0541a3n79,17.53334,78.2645
International Crops Research Institute for the Semi-Arid Tropics,https://ror.org/02g43d244,12.65,-8.0
International Crops Research Institute for the Semi-Arid Tropics,https://ror.org/01tapgj66,-1.28333,36.81667
Bioversity International,https://ror.org/01a15g348,3.43722,-76.5225
Cornell University,https://ror.org/05bnh6r87,42.44063,-76.49661
National Center for Genetic Engineering and Biotechnology,https://ror.org/047aswc67,14.01346,100.53049
Oregon State University,https://ror.org/00ysfqy60,44.56457,-123.26204
National Agriculture and Food Research Organization,https://ror.org/023v4bd62,36.2,140.1
University of the Philippines Diliman,https://ror.org/03tbh6y23,14.6488,121.0509
Simon Fraser University,https://ror.org/0213rcc28,49.26636,-122.95263
Philippine Women's University,https://ror.org/01bq81t66,14.6042,120.9822
International Center for Agricultural Research in the Dry Areas,https://ror.org/02n2syw04,36.20124,37.16117
International Rice Research Institute,https://ror.org/0593p4448,14.17025,121.24181
University of the Philippines Los Baños,https://ror.org/030s54078,14.17025,121.24181
BC Cancer Agency,https://ror.org/03sfybe47,49.24966,-123.11934
International Potato Center,https://ror.org/002vr4d22,-1.28333,36.81667
International Potato Center,https://ror.org/03mkfqw37,0.31628,32.58219
International Potato Center,https://ror.org/05asvgp75,-12.04318,-77.02824
Western Region Agricultural Research Center,https://ror.org/05n9nqv74,34.4,132.45
Brazilian Agricultural Research Corporation,https://ror.org/0482b5b22,-15.77972,-47.92972
Max Planck Society,https://ror.org/01hhn8329,48.13743,11.57549
Virginia Commonwealth University,https://ror.org/02nkdxk79,37.55376,-77.46026
University of Chicago,https://ror.org/024mw5h28,41.85003,-87.65005
University of Wisconsin–Oshkosh,https://ror.org/05w22af52,44.02471,-88.54261
University of Calgary,https://ror.org/03yjb2x39,51.05011,-114.08529
University of Calabria,https://ror.org/02rc97e94,39.33154,16.18041
The University of Texas at Arlington,https://ror.org/019kgqr73,32.73569,-97.10807
Gifu University,https://ror.org/024exxj48,35.42291,136.76039
"University of California, Davis",https://ror.org/05rrcem69,38.54491,-121.74052
Clemson University,https://ror.org/037s24f05,34.68344,-82.83737
University of Calabar,https://ror.org/05qderh61,4.95893,8.32695
IEEE Computer Society,https://ror.org/05nxk6n24,38.89511,-77.03637
University of Palermo,https://ror.org/04fz79c74,-34.61315,-58.37723
University of Palermo,https://ror.org/044k9ta02,38.1166,13.3636
Virginia Tech,https://ror.org/02smfhw86,37.22957,-80.41394
University of South Carolina Lancaster,https://ror.org/0289me815,34.72043,-80.7709
University of Missouri,https://ror.org/02ymw8z06,38.95171,-92.33407
Texas A&M University – San Antonio,https://ror.org/0084njv03,29.42412,-98.49363
University of Kansas,https://ror.org/001tmjg57,38.97167,-95.23525
Technical University of Munich,https://ror.org/02kkvpp62,48.13743,11.57549
Institute of Bioinformatics,https://ror.org/04hqfvm50,12.97194,77.59369
Cold Spring Harbor Laboratory,https://ror.org/02qz8b764,40.87149,-73.45679
National Research Council Canada,https://ror.org/04mte1k06,45.41117,-75.69812
Plant Biotechnology Institute,https://ror.org/00qed5764,52.13238,-106.66892
"National Academies of Sciences, Engineering, and Medicine",https://ror.org/02eq2w707,38.89511,-77.03637
University of Windsor,https://ror.org/01gw3d370,42.30008,-83.01654
University of Münster,https://ror.org/00pd74e08,51.96236,7.62571
University Hospital Münster,https://ror.org/01856cw59,51.96236,7.62571
Genomics Institute of the Novartis Research Foundation,https://ror.org/017136v53,32.71571,-117.16472
"Agency for Science, Technology and Research",https://ror.org/036wvzt09,1.28967,103.85007
Flometrics (United States),https://ror.org/04n3ta263,33.15809,-117.35059
Wellcome Sanger Institute,https://ror.org/05cy4wa09,52.2,0.11667
Cognia (United States),https://ror.org/04hnb7242,40.71427,-74.00597
Institute of Molecular and Cell Biology,https://ror.org/02fsfnf94,55.0415,82.9346
Institute of Molecular and Cell Biology,https://ror.org/04xpsrn94,1.28967,103.85007
