doi,legalname,legalshortname,websiteurl,country
10.1101/2023.11.29.569306,Daniel K. Inouye U.S. Pacific Basin Agricultural Research Center,Daniel K. Inouye U.S. Pacific Basin Agricultural Research Center,https://www.ars.usda.gov/pacific-west-area/hilo-hi/daniel-k-inouye-us-pacific-basin-agricultural-research-center/,United States
10.1101/2023.11.29.569306,American Type Culture Collection,ATCC,http://www.atcc.org/,United States
10.12688/openreseurope.15364.2,University of Oxford,University of Oxford,http://www.ox.ac.uk/,United Kingdom
10.12688/openreseurope.15364.2,Tampere University,Tampere University,https://www.tuni.fi/en,Finland
10.12688/openreseurope.15364.2,University of Copenhagen,UCPH,http://www.ku.dk/english/,Denmark
10.12688/openreseurope.15364.2,German Aerospace Center,DLR,http://www.dlr.de/dlr/en/desktopdefault.aspx/tabid-10002/,Germany
10.12688/openreseurope.15364.2,University of Tartu,UT,http://www.ut.ee/et,Estonia
10.12688/openreseurope.15364.2,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.12688/openreseurope.15364.2,Carlos III University of Madrid,Carlos III University of Madrid,http://www.uc3m.es/Home,Spain
10.12688/openreseurope.15364.2,Barcelona Supercomputing Center,BSC,https://www.bsc.es/,Spain
10.47912/jscdm.130,University of Amsterdam,UvA,http://www.uva.nl/en/home,Netherlands
10.47912/jscdm.130,Critical Path Institute,Critical Path Institute,http://c-path.org/,United States
10.47912/jscdm.130,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.47912/jscdm.130,Amsterdam University Medical Centers,Amsterdam University Medical Centers,https://www.amsterdamumc.org/research/institutes/cancer-center-amsterdam.htm,Netherlands
10.12688/openreseurope.15364.1,University of Oxford,University of Oxford,http://www.ox.ac.uk/,United Kingdom
10.12688/openreseurope.15364.1,Tampere University,Tampere University,https://www.tuni.fi/en,Finland
10.12688/openreseurope.15364.1,University of Copenhagen,UCPH,http://www.ku.dk/english/,Denmark
10.12688/openreseurope.15364.1,German Aerospace Center,DLR,http://www.dlr.de/dlr/en/desktopdefault.aspx/tabid-10002/,Germany
10.12688/openreseurope.15364.1,University of Tartu,UT,http://www.ut.ee/et,Estonia
10.12688/openreseurope.15364.1,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.12688/openreseurope.15364.1,Carlos III University of Madrid,Carlos III University of Madrid,http://www.uc3m.es/Home,Spain
10.12688/openreseurope.15364.1,Barcelona Supercomputing Center,BSC,https://www.bsc.es/,Spain
10.1186/s13326-022-00264-6,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.1186/s13326-022-00264-6,Heidelberg University,Heidelberg University,http://www.uni-heidelberg.de/index_e.html,Germany
10.1186/s13326-022-00264-6,Leiden University,Leiden University,http://www.leiden.edu/,Netherlands
10.1186/s13326-022-00264-6,Radboud University Nijmegen,Radboud University Nijmegen,http://www.ru.nl/english/,Netherlands
10.1186/s13326-022-00264-6,UNIVERSITEIT VAN AMSTERDAM,No legalshortname provided,No websiteurl provided,Netherlands
10.1186/s13326-022-00264-6,"Centre for Molecular and Biomolecular Informatics (CMBI), Nijmegen, Netherland",CMBI,https://www.radboudumc.nl/en/research/departments/center-for-molecular-and-biomolecular-informatics,Netherlands
10.1186/s13326-022-00264-6,University of Amsterdam,No legalshortname provided,No websiteurl provided,Netherlands
10.1186/s13326-022-00264-6,Canadian Institutes of Health Research,CIHR,http://www.cihr-irsc.gc.ca/e/193.html,Canada
10.1186/s13326-022-00264-6,STICHTING RADBOUD UNIVERSITAIR MEDISCH CENTRUM,RADBOUDUMC,http://www.radboudumc.nl,Netherlands
10.1186/s13326-022-00264-6,University Medical Center Groningen,University Medical Center Groningen,http://umcg.nl/azg/nl/english/azg/,Netherlands
10.1186/s13326-022-00264-6,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1186/s13326-022-00264-6,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1186/s13326-022-00264-6,Leiden University Medical Center,LUMC,https://www.lumc.nl/?setlanguage=English&setcountry=en,Netherlands
10.1186/s13326-022-00264-6,University of Amsterdam (UvA),University of Amsterdam (UvA),https://api.eurocris.org/dris/orgunits/ou00424,Netherlands
10.1186/s13326-022-00264-6,Academisch Medisch Centrum bij de Universiteit van Amsterdam,AMC,http://www.amc.nl,Netherlands
10.1186/s13326-022-00264-6,University of Groningen,RUG Research Portal,https://api.eurocris.org/dris/orgunits/ou00638,Netherlands
10.1186/s13326-022-00264-6,Radboud University Nijmegen Medical Centre,RUNMC,https://www.radboudumc.nl/EN/Pages/default.aspx,Netherlands
10.1186/s13326-022-00264-6,University Hospital Heidelberg,University Hospital Heidelberg,https://www.klinikum.uni-heidelberg.de/Startseite.2.0.html?&no_cache=1,Germany
10.1186/s13326-022-00264-6,National Institute of Biology,NIB,http://www.nib.si/eng/,Slovenia
10.1186/s13326-022-00264-6,Public Health Research Institute,Public Health Research Institute,http://www.phri.org/,United States
10.1186/s13326-022-00264-6,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,INIA,http://www.inia.es/IniaPortal/verPresentacionIngles.action,Spain
10.1186/s13326-022-00264-6,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1111/pce.14258,University of Navarra,University of Navarra,http://www.unav.edu/,Spain
10.1111/pce.14258,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1111/pce.14258,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1111/pce.14258,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.15497/RDA00068,Utrecht University,Utrecht University,http://www.uu.nl/en,Netherlands
10.15497/RDA00068,University of Salford,University of Salford,http://www.salford.ac.uk/,United Kingdom
10.15497/RDA00068,University of Edinburgh,University of Edinburgh,http://www.ed.ac.uk/home,United Kingdom
10.15497/RDA00068,University of Illinois at Urbana Champaign,UIUC,http://illinois.edu/,United States
10.15497/RDA00068,Swinburne University of Technology,Swinburne University of Technology,http://www.swinburne.edu.au/,Australia
10.15497/RDA00068,Australian Research Data Commons,ARDC,https://ardc.edu.au/,Australia
10.15497/RDA00068,Dutch Research Council,NWO,http://www.nwo.nl/,Netherlands
10.15497/RDA00068,Netherlands eScience Center,NLeSC,https://www.esciencecenter.nl/,Netherlands
10.15497/RDA00068,Bielefeld University,Bielefeld University,http://www.uni-bielefeld.de/(en)/,Germany
10.17863/CAM.77969,University of Cambridge,University of Cambridge,http://www.cam.ac.uk/,United Kingdom
10.17863/CAM.77969,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1101/2021.07.27.21261169,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.1101/2021.07.27.21261169,Heidelberg University,Heidelberg University,http://www.uni-heidelberg.de/index_e.html,Germany
10.1101/2021.07.27.21261169,Leiden University,Leiden University,http://www.leiden.edu/,Netherlands
10.1101/2021.07.27.21261169,Radboud University Nijmegen,Radboud University Nijmegen,http://www.ru.nl/english/,Netherlands
10.1101/2021.07.27.21261169,UNIVERSITEIT VAN AMSTERDAM,No legalshortname provided,No websiteurl provided,Netherlands
10.1101/2021.07.27.21261169,"Centre for Molecular and Biomolecular Informatics (CMBI), Nijmegen, Netherland",CMBI,https://www.radboudumc.nl/en/research/departments/center-for-molecular-and-biomolecular-informatics,Netherlands
10.1101/2021.07.27.21261169,University of Amsterdam,No legalshortname provided,No websiteurl provided,Netherlands
10.1101/2021.07.27.21261169,Canadian Institutes of Health Research,CIHR,http://www.cihr-irsc.gc.ca/e/193.html,Canada
10.1101/2021.07.27.21261169,STICHTING RADBOUD UNIVERSITAIR MEDISCH CENTRUM,RADBOUDUMC,http://www.radboudumc.nl,Netherlands
10.1101/2021.07.27.21261169,University Medical Center Groningen,University Medical Center Groningen,http://umcg.nl/azg/nl/english/azg/,Netherlands
10.1101/2021.07.27.21261169,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1101/2021.07.27.21261169,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1101/2021.07.27.21261169,Leiden University Medical Center,LUMC,https://www.lumc.nl/?setlanguage=English&setcountry=en,Netherlands
10.1101/2021.07.27.21261169,University of Amsterdam (UvA),University of Amsterdam (UvA),https://api.eurocris.org/dris/orgunits/ou00424,Netherlands
10.1101/2021.07.27.21261169,Academisch Medisch Centrum bij de Universiteit van Amsterdam,AMC,http://www.amc.nl,Netherlands
10.1101/2021.07.27.21261169,University of Groningen,RUG Research Portal,https://api.eurocris.org/dris/orgunits/ou00638,Netherlands
10.1101/2021.07.27.21261169,Radboud University Nijmegen Medical Centre,RUNMC,https://www.radboudumc.nl/EN/Pages/default.aspx,Netherlands
10.1101/2021.07.27.21261169,University Hospital Heidelberg,University Hospital Heidelberg,https://www.klinikum.uni-heidelberg.de/Startseite.2.0.html?&no_cache=1,Germany
10.1101/2021.07.27.21261169,National Institute of Biology,NIB,http://www.nib.si/eng/,Slovenia
10.1101/2021.07.27.21261169,Public Health Research Institute,Public Health Research Institute,http://www.phri.org/,United States
10.1101/2021.07.27.21261169,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,INIA,http://www.inia.es/IniaPortal/verPresentacionIngles.action,Spain
10.1101/2021.07.27.21261169,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1093/jxb/eraa485,University of Gothenburg,GU,http://www.gu.se/english,Sweden
10.1093/jxb/eraa485,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.1093/jxb/eraa485,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1093/jxb/eraa485,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1093/jxb/eraa485,Ruhr University Bochum,RUB,http://www.ruhr-uni-bochum.de/index_en.htm,Germany
10.1093/jxb/eraa485,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria,INIA,http://www.inia.es/IniaPortal/verPresentacionIngles.action,Spain
10.5281/zenodo.4541002,University of Salford,University of Salford,http://www.salford.ac.uk/,United Kingdom
10.1101/2020.08.31.275206,University of Gothenburg,GU,http://www.gu.se/english,Sweden
10.1101/2020.08.31.275206,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1101/2020.08.31.275206,Ruhr University Bochum,RUB,http://www.ruhr-uni-bochum.de/index_en.htm,Germany
10.1101/2020.04.27.063974,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1101/2020.04.27.063974,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1101/2020.04.27.063974,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.12688/f1000research.18236.1,Kyoto University,Kyoto University,http://www.kyoto-u.ac.jp/en,Japan
10.12688/f1000research.18236.1,National Institutes of Health,NIH,http://www.nih.gov/,United States
10.12688/f1000research.18236.1,Harvard Medical School,Harvard Medical School,https://hms.harvard.edu/,United States
10.12688/f1000research.18236.1,Harvard University,Harvard University,http://www.harvard.edu/,United States
10.12688/f1000research.18236.1,Utrecht University,Utrecht University,http://www.uu.nl/en,Netherlands
10.12688/f1000research.18236.1,Chinese Academy of Sciences,CAS,http://english.cas.cn/,China (People's Republic of)
10.12688/f1000research.18236.1,Lawrence Berkeley National Laboratory,LBL,http://www.lbl.gov/,United States
10.12688/f1000research.18236.1,University of Giessen,JLU,http://www.uni-giessen.de/cms/,Germany
10.12688/f1000research.18236.1,Osaka University,Osaka University,http://www.osaka-u.ac.jp/en,Japan
10.12688/f1000research.18236.1,Tohoku University,Tohoku University,http://www.tohoku.ac.jp/en/,Japan
10.12688/f1000research.18236.1,University of Tokyo,UT,http://www.u-tokyo.ac.jp/en/,Japan
10.12688/f1000research.18236.1,Chinese Academy of Science,Chinese Academy of Science,No websiteurl provided,China (People's Republic of)
10.12688/f1000research.18236.1,European Molecular Biology Laboratory,EMBL,http://embl.org/,Germany
10.12688/f1000research.18236.1,National Center for Biotechnology Informationa,NCBI,https://www.ncbi.nlm.nih.gov/,United States
10.12688/f1000research.18236.1,UNSW Sydney,UNSW,https://www.unsw.edu.au/,Australia
10.12688/f1000research.18236.1,University of Tennessee Health Science Center,UTHSC,https://www.uthsc.edu/,United States
10.12688/f1000research.18236.1,National Cancer Centre,NCC,http://www.ncc.go.jp/en/,Japan
10.12688/f1000research.18236.1,"National Institutes of Health, National Library of Medicine , National Center for Biotechnology Information",NCBI,https://www.ncbi.nlm.nih.gov/,United States
10.12688/f1000research.18236.1,RIKEN,RIKEN,http://www.riken.jp/en/,Japan
10.12688/f1000research.18236.1,National Institutes of Natural Sciences,NINS,http://www.nins.jp/english/,Japan
10.12688/f1000research.18236.1,"SHENZHEN INSTITUTES OF ADVANCED TECHNOLOGY, CHINESE ACADEMY OF SCIENCES","SHENZHEN INSTITUTES OF ADVANCED TECHNOLOGY, CHINESE ACADEMY OF SCIENCES",No websiteurl provided,China (People's Republic of)
10.12688/f1000research.18236.1,Leiden University,Leiden University,http://www.leiden.edu/,Netherlands
10.12688/f1000research.18236.1,United States National Library of Medicine,NLM,https://www.nlm.nih.gov/,United States
10.12688/f1000research.18236.1,Niigata University,Niigata University,https://www.niigata-u.ac.jp/,Japan
10.12688/f1000research.18236.1,"Database Center for Life Science (DBCLS), Japan",DBCLS,http://dbcls.rois.ac.jp/en/,Japan
10.12688/f1000research.18236.1,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.12688/f1000research.18236.1,Swiss Institute of Bioinformatics,SIB,https://www.isb-sib.ch/,Switzerland
10.12688/f1000research.18236.1,Soka University,Soka University,https://www.soka.ac.jp/en/,Japan
10.12688/f1000research.18236.1,Institute for Systems Biology,ISB,https://www.systemsbiology.org/,United States
10.12688/f1000research.18236.1,Department of Biology Norwegian University of Science and Technology,Department of Biology Norwegian University of Science and Technology,No websiteurl provided,Norway
10.12688/f1000research.18236.1,Dutch Techcentre for Life Sciences,DTL,http://www.dtls.nl/,Netherlands
10.12688/f1000research.18236.1,King Abdullah University of Science and Technology,KAUST,http://www.kaust.edu.sa/,Saudi Arabia
10.12688/f1000research.18236.1,Chinese Academy of Sciences (中国科学院),CAS,http://www.cas.cn/,China (People's Republic of)
10.12688/f1000research.18236.1,Naturalis,Naturalis,http://www.naturalis.nl/,Netherlands
10.12688/f1000research.18236.1,NATIONAL INSTITUTE OF HEALTH,NATIONAL INSTITUTE OF HEALTH,No websiteurl provided,United States
10.12688/f1000research.18236.1,Medical Genetics Center,MGZ,https://www.mgz-muenchen.com/,Germany
10.12688/f1000research.18236.1,Noguchi Institute,Noguchi Institute,http://www.noguchi.or.jp/index.php?lang=en,Japan
10.12688/f1000research.18236.1,Naturalis Biodiversity Center,Naturalis Biodiversity Center,http://www.naturalis.nl/,Netherlands
10.12688/f1000research.18236.1,Hitachi (South Korea),Hitachi (South Korea),http://www.hitachi.com/,Korea (Republic of)
10.12688/f1000research.18236.1,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.12688/f1000research.18236.1,Norwegian University of Science and Technology,NTNU,http://www.ntnu.edu,Norway
10.12688/f1000research.18236.1,Japan Science and Technology Agency,JST,http://www.jst.go.jp/EN/,Japan
10.12688/f1000research.18236.1,DDBJ Center,DDBJ Center,https://www.ddbj.nig.ac.jp/index-e.html,Japan
10.12688/f1000research.18236.1,RIKEN Quantitative Biology Center,QBiC,http://www.qbic.riken.jp/english/,Japan
10.12688/f1000research.18236.1,European Bioinformatics Institute,EBI,http://www.ebi.ac.uk/,United Kingdom
10.12688/f1000research.18236.1,Oracle Corporation,Oracle Corporation,http://www.oracle.com/,United States
10.12688/f1000research.18236.1,National Institute of Health (NIH/NICHD),National Institute of Health (NIH/NICHD),No websiteurl provided,United States
10.12688/f1000research.18236.1,University of Colorado Denver,UCD,http://www.ucdenver.edu/pages/ucdwelcomepage.aspx,United States
10.12688/f1000research.18236.1,Tohoku Medical Megabank Organization,ToMMO,https://www.megabank.tohoku.ac.jp/,Japan
10.12688/f1000research.18236.1,University of California System,University of California System,http://www.universityofcalifornia.edu/,United States
10.12688/f1000research.18236.1,French National Centre for Scientific Research,CNRS,http://www.cnrs.fr/index.php,France
10.12688/f1000research.18236.1,RIKEN Bioresource Research Center,RBRC,https://web.brc.riken.jp/en/,Japan
10.12688/f1000research.18236.1,"National Institutes of Health, National Library of Medicine",NIH NLM,https://www.nlm.nih.gov/,United States
10.12688/f1000research.18236.1,National Institute of Genetics,NIG,http://www.nig.ac.jp/nig/,Japan
10.12688/f1000research.18236.1,Norwegian University of Science and Technology (NTNU),Norwegian University of Science and Technology (NTNU),No websiteurl provided,Norway
10.12688/f1000research.18236.1,Shenzhen Institutes of Advanced Technology,SIAT,http://english.siat.cas.cn/,China (People's Republic of)
10.12688/f1000research.18236.1,Soka University of America,SUA,http://www.soka.edu/,United States
10.12688/f1000research.18236.1,Leiden University Medical Center,LUMC,https://www.lumc.nl/?setlanguage=English&setcountry=en,Netherlands
10.12688/f1000research.18236.1,University Medical Center Utrecht,UMC,http://www.umcutrecht.nl/nl/,Netherlands
10.12688/f1000research.18236.1,Curoverse (United States),Curoverse (United States),https://curoverse.com/,United States
10.12688/f1000research.18236.1,Chinese Academy of Science (中国科学院),CAS,http://www.cas.cn/,China (People's Republic of)
10.12688/f1000research.18236.1,University of Nagasaki,University of Nagasaki,http://sun.ac.jp/,Japan
10.12688/f1000research.18236.1,Tokyo Institute of Technology,TIT,http://www.titech.ac.jp/english/,Japan
10.12688/f1000research.18236.1,"National Center for Biotechnology Information, U.S. National Library of Medicine",NCBI,https://www.ncbi.nlm.nih.gov/,United States
10.12688/f1000research.18236.1,RIKEN Center for Sustainable Resource Science,CSRS,https://www.riken.jp/en/research/labs/csrs/,Japan
10.12688/f1000research.18236.1,University Medical Center,UMC,http://umcquicklook.com/,United States
10.12688/f1000research.18236.1,Istituto Nazionale Genetica Molecolare,INGM,http://www.ingm.org/,Italy
10.12688/f1000research.18236.1,Keio University,Keio University,http://www.keio.ac.jp/,Japan
10.12688/f1000research.18236.1,Garvan Institute of Medical Research,Garvan Institute of Medical Research,http://www.garvan.org.au/,Australia
10.12688/f1000research.18236.1,University of Murcia,University of Murcia,http://www.um.es/,Spain
10.12688/f1000research.18236.1,"University of California, Santa Cruz",UCSC,http://www.ucsc.edu/,United States
10.12688/f1000research.18236.1,National Institute for Basic Biology,NIBB,http://www.nibb.ac.jp/en/,Japan
10.12688/f1000research.18236.1,Queen Mary University of London,QMUL,http://www.qmul.ac.uk/,United Kingdom
10.12688/f1000research.18236.1,University of Colorado Cancer Center,University of Colorado Cancer Center,http://www.ucdenver.edu/academics/colleges/medicalschool/centers/cancercenter/Pages/CancerCenter.aspx,United States
10.12688/f1000research.18236.1,University of Paris-Saclay,University of Paris-Saclay,http://www.universite-paris-saclay.fr/fr,France
10.12688/f1000research.18236.1,National Center for Biotechnology Information,NCBI,http://www.ncbi.nlm.nih.gov/,United States
10.7287/peerj.preprints.27829,Elsevier,Elsevier,http://www.elsevier.com/,United States
10.7287/peerj.preprints.27829,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.7287/peerj.preprints.27829,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.7287/peerj.preprints.27829,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.7287/peerj.preprints.27829v2,Elsevier,Elsevier,http://www.elsevier.com/,United States
10.7287/peerj.preprints.27829v2,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.7287/peerj.preprints.27829v2,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.7287/peerj.preprints.27829v2,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1093/gigascience/giz147,University of Navarra,University of Navarra,http://www.unav.edu/,Spain
10.1093/gigascience/giz147,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1093/gigascience/giz147,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1038/s41597-019-0248-6,University of Oxford,University of Oxford,http://www.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0248-6,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1038/s41597-019-0248-6,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1038/s41597-019-0248-6,Oxford Centre,Oxford Centre,http://www.cancercentre.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0248-6,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1038/s41597-019-0248-6,Harvard University,Harvard University,http://www.harvard.edu/,United States
10.1038/s41597-019-0248-6,Leiden University Medical Center,LUMC,https://www.lumc.nl/?setlanguage=English&setcountry=en,Netherlands
10.1038/s41597-019-0248-6,Vrije Universiteit Amsterdam,VUA,http://www.vu.nl/en/,Netherlands
10.12688/f1000research.18238.1,University of Cambridge,University of Cambridge,http://www.cam.ac.uk/,United Kingdom
10.12688/f1000research.18238.1,University of Melbourne,University of Melbourne,http://www.unimelb.edu.au/,Australia
10.12688/f1000research.18238.1,National Institutes of Natural Sciences,NINS,http://www.nins.jp/english/,Japan
10.12688/f1000research.18238.1,Leiden University,Leiden University,http://www.leiden.edu/,Netherlands
10.12688/f1000research.18238.1,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.12688/f1000research.18238.1,King Abdullah University of Science and Technology,KAUST,http://www.kaust.edu.sa/,Saudi Arabia
10.12688/f1000research.18238.1,Pharmaceuticals and Medical Devices Agency,PMDA,http://www.pmda.go.jp/english/index.html,Japan
10.12688/f1000research.18238.1,Niigata University,Niigata University,https://www.niigata-u.ac.jp/,Japan
10.12688/f1000research.18238.1,Osaka University,Osaka University,http://www.osaka-u.ac.jp/en,Japan
10.12688/f1000research.18238.1,Tohoku University,Tohoku University,http://www.tohoku.ac.jp/en/,Japan
10.12688/f1000research.18238.1,University of Tokyo,UT,http://www.u-tokyo.ac.jp/en/,Japan
10.12688/f1000research.18238.1,"University of California, Berkeley",UCB,http://www.berkeley.edu/,United States
10.12688/f1000research.18238.1,Soka University of America,SUA,http://www.soka.edu/,United States
10.12688/f1000research.18238.1,Keio University,Keio University,http://www.keio.ac.jp/,Japan
10.12688/f1000research.18238.1,James Hutton Institute,James Hutton Institute,http://www.hutton.ac.uk/,United Kingdom
10.12688/f1000research.18238.1,University of Murcia,University of Murcia,http://www.um.es/,Spain
10.12688/f1000research.18238.1,University of Colorado Denver,UCD,http://www.ucdenver.edu/pages/ucdwelcomepage.aspx,United States
10.12688/f1000research.18238.1,Tokyo Institute of Technology,TIT,http://www.titech.ac.jp/english/,Japan
10.12688/f1000research.18238.1,National Institute of Genetics,NIG,http://www.nig.ac.jp/nig/,Japan
10.12688/f1000research.18238.1,Griffith University,Griffith University,http://www.griffith.edu.au/,Australia
10.12688/f1000research.18238.1,Swiss Institute of Bioinformatics,SIB,https://www.isb-sib.ch/,Switzerland
10.12688/f1000research.18238.1,National Institute of Informatics (NII),NII,http://www.nii.ac.jp/en,Japan
10.12688/f1000research.18238.1,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.12688/f1000research.18238.1,Norwegian University of Science and Technology,NTNU,http://www.ntnu.edu,Norway
10.12688/f1000research.18238.1,National Cancer Research Institute,NCRI,http://www.ncri.org.uk/,United Kingdom
10.1038/s41597-019-0184-5,University of Oxford,University of Oxford,http://www.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0184-5,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1038/s41597-019-0184-5,Leids Universitair Medisch Centrum,Leids Universitair Medisch Centrum,No websiteurl provided,Unknown
10.1038/s41597-019-0184-5,"Oxford e-Research Centre, Department of Engineering Science, University of Oxford, Oxford, UK","Oxford e-Research Centre, Department of Engineering Science, University of Oxford, Oxford, UK",http://www.oerc.ox.ac.uk,United Kingdom
10.1038/s41597-019-0184-5,Harvard University,Harvard University,http://www.harvard.edu/,United States
10.1038/s41597-019-0184-5,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",UOXF,http://www.ox.ac.uk,United Kingdom
10.1038/s41597-019-0184-5,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.1038/s41597-019-0184-5,"University of Oxford, Oxford e-Research Centre",OERC,http://www.oerc.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0184-5,Leiden University,Leiden University,http://www.leiden.edu/,Netherlands
10.1038/s41597-019-0184-5,Oxford Centre,Oxford Centre,http://www.cancercentre.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0184-5,Leiden University Medical Center,LUMC,https://www.lumc.nl/?setlanguage=English&setcountry=en,Netherlands
10.1038/s41597-019-0184-5,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1038/s41597-019-0184-5,"Oxford e-Research Centre, Department of Engineering Science, University of Oxford",OERC,http://www.oerc.ox.ac.uk/,United Kingdom
10.1038/s41597-019-0184-5,Vrije Universiteit Amsterdam,VUA,http://www.vu.nl/en/,Netherlands
10.7287/peerj.preprints.27829v1,Elsevier,Elsevier,http://www.elsevier.com/,United States
10.7287/peerj.preprints.27829v1,Spanish National Research Council,CSIC,http://www.csic.es/,Spain
10.7287/peerj.preprints.27829v1,Centre for Plant Biotechnology and Genomics,CBGP,http://www.cbgp.upm.es/en/,Spain
10.7287/peerj.preprints.27829v1,Universidad Politécnica de Madrid,UPM,http://www.upm.es,Spain
10.1101/649202,University of Oxford,University of Oxford,http://www.ox.ac.uk/,United Kingdom
10.1101/649202,Maastricht University,UM,http://www.maastrichtuniversity.nl/,Netherlands
10.1101/649202,Leids Universitair Medisch Centrum,Leids Universitair Medisch Centrum,No websiteurl provided,Unknown
